"V1" "V2"
"orthoMCL0564" "3" "c_3"
"orthoMCL0565" "3" "c_3"
"orthoMCL0566" "3" "c_3"
"orthoMCL0567" "3" "c_3"
"orthoMCL0568" "3" "c_3"
"orthoMCL0569" "3" "c_3"
"orthoMCL0570" "4" "c_4"
"orthoMCL0571" "3" "c_3"
"orthoMCL0572" "3" "c_3"
"orthoMCL0573" "3" "c_3"
"orthoMCL0574" "3" "c_3"
"orthoMCL0575" "3" "c_3"
"orthoMCL0576" "3" "c_3"
"orthoMCL0577" "3" "c_3"
"orthoMCL0578" "3" "c_3"
"orthoMCL0579" "3" "c_3"
"orthoMCL0580" "3" "c_3"
"orthoMCL0581" "3" "c_3"
"orthoMCL0582" "3" "c_3"
"orthoMCL0583" "3" "c_3"
"orthoMCL0584" "3" "c_3"
"orthoMCL0585" "3" "c_3"
"orthoMCL0586" "3" "c_3"
"orthoMCL0587" "3" "c_3"
"orthoMCL0588" "3" "c_3"
"orthoMCL0589" "3" "c_3"
"orthoMCL0590" "3" "c_3"
"orthoMCL0591" "3" "c_3"
"orthoMCL0592" "3" "c_3"
"orthoMCL0593" "3" "c_3"
"orthoMCL0594" "3" "c_3"
"orthoMCL0595" "3" "c_3"
"orthoMCL0596" "3" "c_3"
"orthoMCL0597" "3" "c_3"
"orthoMCL0598" "3" "c_3"
"orthoMCL0599" "3" "c_3"
"orthoMCL0600" "3" "c_3"
"orthoMCL0601" "3" "c_3"
"orthoMCL0602" "3" "c_3"
"orthoMCL0603" "3" "c_3"
"orthoMCL0604" "3" "c_3"
"orthoMCL0605" "3" "c_3"
"orthoMCL0606" "3" "c_3"
"orthoMCL0607" "3" "c_3"
"orthoMCL0608" "4" "c_4"
"orthoMCL0609" "3" "c_3"
"orthoMCL0610" "3" "c_3"
"orthoMCL0611" "3" "c_3"
"orthoMCL0612" "3" "c_3"
"orthoMCL0613" "3" "c_3"
"orthoMCL0614" "3" "c_3"
"orthoMCL0615" "3" "c_3"
"orthoMCL0616" "3" "c_3"
"orthoMCL0617" "3" "c_3"
"orthoMCL0618" "3" "c_3"
"orthoMCL0619" "4" "c_4"
"orthoMCL0620" "3" "c_3"
"orthoMCL0621" "3" "c_3"
"orthoMCL0622" "3" "c_3"
"orthoMCL0623" "3" "c_3"
"orthoMCL0624" "3" "c_3"
"orthoMCL0625" "3" "c_3"
"orthoMCL0626" "3" "c_3"
"orthoMCL0627" "3" "c_3"
"orthoMCL0628" "3" "c_3"
"orthoMCL0629" "3" "c_3"
"orthoMCL0630" "3" "c_3"
"orthoMCL0631" "3" "c_3"
"orthoMCL0632" "3" "c_3"
"orthoMCL0633" "3" "c_3"
"orthoMCL0634" "3" "c_3"
"orthoMCL0635" "3" "c_3"
"orthoMCL0636" "3" "c_3"
"orthoMCL0637" "3" "c_3"
"orthoMCL0638" "3" "c_3"
"orthoMCL0639" "3" "c_3"
"orthoMCL0640" "3" "c_3"
"orthoMCL0641" "3" "c_3"
"orthoMCL0642" "3" "c_3"
"orthoMCL0643" "3" "c_3"
"orthoMCL0644" "3" "c_3"
"orthoMCL0645" "3" "c_3"
"orthoMCL0646" "3" "c_3"
"orthoMCL0647" "3" "c_3"
"orthoMCL0648" "3" "c_3"
"orthoMCL0649" "3" "c_3"
"orthoMCL0650" "3" "c_3"
"orthoMCL0651" "3" "c_3"
"orthoMCL0652" "3" "c_3"
"orthoMCL0653" "3" "c_3"
"orthoMCL0654" "3" "c_3"
"orthoMCL0655" "3" "c_3"
"orthoMCL0656" "3" "c_3"
"orthoMCL0657" "3" "c_3"
"orthoMCL0658" "3" "c_3"
"orthoMCL0659" "3" "c_3"
"orthoMCL0660" "3" "c_3"
"orthoMCL0661" "3" "c_3"
"orthoMCL0662" "3" "c_3"
"orthoMCL0663" "3" "c_3"
"orthoMCL0664" "3" "c_3"
"orthoMCL0665" "3" "c_3"
"orthoMCL0666" "3" "c_3"
"orthoMCL0667" "3" "c_3"
"orthoMCL0668" "3" "c_3"
"orthoMCL0669" "3" "c_3"
"orthoMCL0670" "3" "c_3"
"orthoMCL0671" "3" "c_3"
"orthoMCL0672" "3" "c_3"
"orthoMCL0673" "3" "c_3"
"orthoMCL0674" "3" "c_3"
"orthoMCL0675" "3" "c_3"
"orthoMCL0676" "3" "c_3"
"orthoMCL0677" "3" "c_3"
"orthoMCL0678" "3" "c_3"
"orthoMCL0679" "3" "c_3"
"orthoMCL0680" "3" "c_3"
"orthoMCL0681" "3" "c_3"
"orthoMCL0682" "3" "c_3"
"orthoMCL0683" "3" "c_3"
"orthoMCL0684" "3" "c_3"
"orthoMCL0685" "3" "c_3"
"orthoMCL0686" "3" "c_3"
"orthoMCL0687" "3" "c_3"
"orthoMCL0688" "3" "c_3"
"orthoMCL0689" "3" "c_3"
"orthoMCL0690" "3" "c_3"
"orthoMCL0691" "3" "c_3"
"orthoMCL0692" "3" "c_3"
"orthoMCL0693" "3" "c_3"
"orthoMCL0694" "3" "c_3"
"orthoMCL0695" "3" "c_3"
"orthoMCL0696" "3" "c_3"
"orthoMCL0697" "3" "c_3"
"orthoMCL0698" "3" "c_3"
"orthoMCL0699" "3" "c_3"
"orthoMCL0700" "3" "c_3"
"orthoMCL0701" "3" "c_3"
"orthoMCL0702" "3" "c_3"
"orthoMCL0703" "3" "c_3"
"orthoMCL0704" "3" "c_3"
"orthoMCL0705" "3" "c_3"
"orthoMCL0706" "3" "c_3"
"orthoMCL0707" "3" "c_3"
"orthoMCL0708" "3" "c_3"
"orthoMCL0709" "3" "c_3"
"orthoMCL0710" "3" "c_3"
"orthoMCL0711" "3" "c_3"
"orthoMCL0712" "3" "c_3"
"orthoMCL0713" "3" "c_3"
"orthoMCL0714" "3" "c_3"
"orthoMCL0715" "3" "c_3"
"orthoMCL0716" "3" "c_3"
"orthoMCL0717" "3" "c_3"
"orthoMCL0718" "3" "c_3"
"orthoMCL0719" "3" "c_3"
"orthoMCL0720" "3" "c_3"
"orthoMCL0721" "3" "c_3"
"orthoMCL0722" "3" "c_3"
