"dist" "gap" "cnt" "max" "mean"
"orthoMCL0249" 2850.99289913949 34 32 4 0.522522522522523
"orthoMCL0250" 1410.7375825598 3 24 7 0.522522522522523
"orthoMCL0251" 1064.51402412776 6 21 14 0.522522522522523
"orthoMCL0252" 9136.29997707007 24 53 2 0.522522522522523
"orthoMCL0253" 1028.5625126519 6 21 9 0.513513513513513
"orthoMCL0254" 141.302525631289 5 9 16 0.513513513513513
"orthoMCL0255" 3371.04653846358 31 34 6 0.513513513513513
"orthoMCL0256" 1179.00286243264 5 22 13 0.513513513513513
"orthoMCL0257" 133.904898524585 1 9 18 0.513513513513513
"orthoMCL0258" 955.932838339396 6 20 8 0.513513513513513
"orthoMCL0259" 10.770329614269 63 2 56 0.513513513513513
"orthoMCL0260" 1756.01020722555 47 24 11 0.504504504504504
"orthoMCL0261" 1275.9717259193 4 23 13 0.504504504504504
"orthoMCL0262" 1517.22082609383 2 25 8 0.504504504504504
"orthoMCL0263" 994.487761763641 6 20 18 0.504504504504504
"orthoMCL0264" 56.1123495316636 23 5 52 0.504504504504504
"orthoMCL0265" 4213.39761783657 29 37 4 0.504504504504504
"orthoMCL0266" 1740.36380076812 38 26 7 0.495495495495495
"orthoMCL0267" 2960.86210468715 49 30 6 0.495495495495495
"orthoMCL0268" 1413.22584357918 3 24 9 0.495495495495495
"orthoMCL0269" 678.809616943953 53 16 9 0.495495495495495
"orthoMCL0270" 7645.42074659298 42 47 2 0.495495495495495
"orthoMCL0271" 1183.38555655553 5 22 7 0.495495495495495
"orthoMCL0272" 1179.61151993724 5 22 8 0.495495495495495
"orthoMCL0273" 6.92820323027551 17 2 54 0.495495495495495
"orthoMCL0274" 1184.9657878409 5 22 17 0.486486486486487
"orthoMCL0275" 1176.95374489518 5 22 5 0.486486486486487
"orthoMCL0276" 434.077650118402 25 14 20 0.486486486486487
"orthoMCL0277" 1293.21733426238 4 23 7 0.486486486486487
"orthoMCL0278" 588.503204102661 7 16 25 0.486486486486487
"orthoMCL0279" 0 0 2 29 0.486486486486487
"orthoMCL0280" 758.682983989039 9 18 15 0.477477477477477
"orthoMCL0281" 787.285861052029 8 18 7 0.477477477477477
"orthoMCL0282" 2473.96358334897 62 30 7 0.477477477477477
"orthoMCL0283" 535.396115587063 2 16 34 0.468468468468468
"orthoMCL0284" 1087.56054308848 6 21 5 0.468468468468468
"orthoMCL0285" 863.347949363754 4 19 10 0.468468468468468
"orthoMCL0286" 2078.57852035536 62 27 9 0.468468468468468
"orthoMCL0287" 1275.69980576997 4 23 8 0.468468468468468
"orthoMCL0288" 1333.74866996631 58 22 6 0.459459459459459
"orthoMCL0289" 1708.64387063498 17 26 6 0.45045045045045
"orthoMCL0290" 1525.02152980696 2 25 11 0.45045045045045
"orthoMCL0291" 1295.1118500072 4 23 9 0.441441441441441
"orthoMCL0292" 1766.48272966938 0 27 10 0.441441441441441
"orthoMCL0293" 179.69189181065 24 9 31 0.441441441441441
"orthoMCL0294" 1607.225130655 2 26 7 0.432432432432432
"orthoMCL0295" 873.999976541104 7 19 7 0.432432432432432
"orthoMCL0296" 327.94883981248 2 13 12 0.432432432432432
"orthoMCL0297" 433.099223492997 0 15 6 0.432432432432432
"orthoMCL0298" 1290.18523444285 4 23 5 0.423423423423423
"orthoMCL0299" 963.897092935813 6 20 7 0.423423423423423
"orthoMCL0300" 1046.23652681145 6 21 6 0.423423423423423
"orthoMCL0301" 201.784876036778 45 9 14 0.423423423423423
"orthoMCL0302" 2044.20422170765 10 27 4 0.423423423423423
"orthoMCL0303" 3870.31454377603 31 35 2 0.414414414414414
"orthoMCL0304" 223.143126090398 16 11 9 0.414414414414414
"orthoMCL0305" 785.184588205235 4 18 7 0.414414414414414
"orthoMCL0306" 327.94883981248 2 13 7 0.414414414414414
"orthoMCL0307" 322.646906386193 2 13 16 0.414414414414414
"orthoMCL0308" 377.450420448051 1 14 10 0.414414414414414
"orthoMCL0309" 1218.41715034071 47 21 10 0.414414414414414
"orthoMCL0310" 29.3339442259707 54 4 34 0.405405405405405
"orthoMCL0311" 867.842343410629 6 19 10 0.405405405405405
"orthoMCL0312" 761.171043975454 9 18 7 0.405405405405405
"orthoMCL0313" 883.953283303371 8 19 7 0.405405405405405
"orthoMCL0314" 843.00802899364 55 17 7 0.405405405405405
"orthoMCL0315" 377.450420448051 1 14 13 0.405405405405405
"orthoMCL0316" 899.646594040259 20 19 8 0.405405405405405
"orthoMCL0317" 875.034307529237 7 19 10 0.405405405405405
"orthoMCL0318" 153.317313656969 4 9 9 0.405405405405405
"orthoMCL0319" 0 0 1 45 0.405405405405405
"orthoMCL0320" 936.828568510767 21 19 4 0.396396396396396
"orthoMCL0321" 3414.79566539158 30 35 2 0.396396396396396
"orthoMCL0322" 780.381595239919 9 18 5 0.396396396396396
"orthoMCL0323" 1588.86655641798 66 25 6 0.396396396396396
"orthoMCL0324" 3586.43286359861 66 33 3 0.396396396396396
"orthoMCL0325" 1072.54207330039 6 21 9 0.396396396396396
"orthoMCL0326" 2433.0824078401 11 30 2 0.396396396396396
"orthoMCL0327" 18.6943235640364 45 3 40 0.387387387387387
"orthoMCL0328" 1293.46186887534 4 23 6 0.387387387387387
"orthoMCL0329" 974.920385702112 8 20 13 0.387387387387387
"orthoMCL0330" 375.766394689359 1 14 8 0.387387387387387
"orthoMCL0331" 948.6382153184 8 20 6 0.387387387387387
"orthoMCL0332" 114.341145430944 35 7 25 0.378378378378378
"orthoMCL0333" 428.033249179571 11 14 10 0.378378378378378
"orthoMCL0334" 2578.13855281722 28 31 10 0.378378378378378
"orthoMCL0335" 274.266281615252 3 12 10 0.378378378378378
"orthoMCL0336" 1404.23155446189 2 24 5 0.378378378378378
"orthoMCL0337" 8 3 3 26 0.378378378378378
"orthoMCL0338" 0 0 2 35 0.378378378378378
"orthoMCL0339" 1990.38408358172 54 25 8 0.369369369369369
"orthoMCL0340" 1723.75792998325 40 26 4 0.369369369369369
"orthoMCL0341" 210.039279453329 15 11 18 0.369369369369369
"orthoMCL0342" 862.11508333154 8 19 6 0.369369369369369
"orthoMCL0343" 795.585135419337 6 18 9 0.369369369369369
"orthoMCL0344" 276.60942736576 3 12 6 0.369369369369369
"orthoMCL0345" 373.345300324009 1 14 10 0.369369369369369
"orthoMCL0346" 376.74251443591 2 14 8 0.369369369369369
"orthoMCL0347" 1153.0315443899 46 20 10 0.369369369369369
"orthoMCL0348" 620.83863343211 11 16 5 0.36036036036036
"orthoMCL0349" 2788.32562212953 41 31 4 0.36036036036036
"orthoMCL0350" 1291.35781141131 5 23 4 0.36036036036036
"orthoMCL0351" 656.494101952254 5 17 10 0.36036036036036
"orthoMCL0352" 504.86506161115 11 15 13 0.36036036036036
"orthoMCL0353" 957.965838337207 6 20 5 0.36036036036036
"orthoMCL0354" 1288.1763131122 5 23 4 0.36036036036036
"orthoMCL0355" 1067.11462888068 6 21 4 0.36036036036036
"orthoMCL0356" 647.126553583519 35 16 7 0.36036036036036
"orthoMCL0357" 1177.30273521299 5 22 5 0.36036036036036
"orthoMCL0358" 0 0 1 40 0.36036036036036
"orthoMCL0359" 1170.53646653899 6 22 4 0.351351351351351
"orthoMCL0360" 1074.89955971497 6 21 9 0.351351351351351
"orthoMCL0361" 959.013161519637 7 20 4 0.351351351351351
"orthoMCL0362" 1752.86774422316 1 27 4 0.351351351351351
"orthoMCL0363" 1082.09442012389 6 21 6 0.351351351351351
"orthoMCL0364" 1178.4448722566 4 22 4 0.351351351351351
"orthoMCL0365" 697.241077609055 10 17 7 0.351351351351351
"orthoMCL0366" 2291.0492742609 47 29 3 0.351351351351351
"orthoMCL0367" 957.307553370489 8 20 7 0.351351351351351
"orthoMCL0368" 0 0 2 38 0.351351351351351
"orthoMCL0369" 968.227238888045 4 20 6 0.342342342342342
"orthoMCL0370" 785.713807718713 9 18 5 0.342342342342342
"orthoMCL0371" 647.679495805015 10 17 6 0.342342342342342
"orthoMCL0372" 609.77527458574 10 16 9 0.342342342342342
"orthoMCL0373" 1048.43248338595 6 21 4 0.342342342342342
"orthoMCL0374" 458.322458820181 9 14 17 0.342342342342342
"orthoMCL0375" 871.849215344127 8 19 6 0.342342342342342
"orthoMCL0376" 433.099223492997 0 15 7 0.342342342342342
"orthoMCL0377" 10.7646646948835 4 3 25 0.342342342342342
"orthoMCL0378" 1058.59499872616 7 21 5 0.342342342342342
"orthoMCL0379" 2113.69454823838 18 28 3 0.342342342342342
"orthoMCL0380" 697.23449355792 9 17 13 0.333333333333333
"orthoMCL0381" 980.971131769587 7 20 4 0.333333333333333
"orthoMCL0382" 463.634893863889 4 15 6 0.333333333333333
"orthoMCL0383" 782.222645337087 9 18 7 0.333333333333333
"orthoMCL0384" 380.76921573268 1 14 9 0.333333333333333
"orthoMCL0385" 467.745735394817 1 15 5 0.333333333333333
"orthoMCL0386" 377.450420448051 1 14 7 0.333333333333333
"orthoMCL0387" 59.3190501599707 0 7 7 0.333333333333333
"orthoMCL0388" 0 0 1 37 0.333333333333333
"orthoMCL0389" 325.410637534739 3 13 9 0.324324324324324
"orthoMCL0390" 1064.51402412776 6 21 3 0.324324324324324
"orthoMCL0391" 1913.84413359289 15 27 2 0.324324324324324
"orthoMCL0392" 591.481929938393 11 16 5 0.324324324324324
"orthoMCL0393" 1170.74572156196 5 22 6 0.324324324324324
"orthoMCL0394" 788.915831373286 9 18 6 0.324324324324324
"orthoMCL0395" 1079.45503408776 5 21 5 0.324324324324324
"orthoMCL0396" 276.60942736576 3 12 7 0.324324324324324
"orthoMCL0397" 3642.14857444682 66 32 2 0.324324324324324
"orthoMCL0398" 1144.84749474473 5 22 4 0.324324324324324
"orthoMCL0399" 862.789648969672 8 19 13 0.324324324324324
"orthoMCL0400" 2162.8641562557 60 25 4 0.324324324324324
"orthoMCL0401" 2.82842712474619 4 2 35 0.324324324324324
"orthoMCL0402" 471.148509360962 32 14 18 0.315315315315315
"orthoMCL0403" 957.79133658785 7 20 3 0.315315315315315
"orthoMCL0404" 612.901503826192 10 16 5 0.315315315315315
